Job_ID,Job_Title,Job_Category,Location,Year,Company,Experience_Required_Years,Salary_Min_LPA,Salary_Max_LPA,Employment_Type
1,Data Analyst,Data,Bangalore,2023,TCS,1,4,8,Full-Time
2,Data Scientist,Data,Bangalore,2024,Infosys,2,8,18,Full-Time
3,Business Analyst,Business,Hyderabad,2023,Accenture,2,6,12,Full-Time
4,ML Engineer,AI/ML,Bangalore,2025,Google,3,15,30,Full-Time
5,Power BI Developer,BI,Chennai,2024,Wipro,1,5,10,Full-Time
6,Data Analyst,Data,Hyderabad,2024,Deloitte,1,4,9,Full-Time
7,Data Scientist,Data,Pune,2025,Amazon,3,12,25,Full-Time
8,AI Engineer,AI/ML,Bangalore,2025,Microsoft,3,18,35,Full-Time
9,SQL Developer,Database,Chennai,2023,HCL,1,3,7,Full-Time
10,Python Developer,Software,Hyderabad,2023,Tech Mahindra,2,5,10,Full-Time
11,Data Analyst,Data,Mumbai,2025,JP Morgan,2,6,14,Full-Time
12,Power BI Analyst,BI,Bangalore,2023,KPMG,1,4,8,Full-Time
13,Business Analyst,Business,Mumbai,2024,EY,3,7,15,Full-Time
14,ML Engineer,AI/ML,Hyderabad,2024,IBM,2,10,20,Full-Time
15,Data Engineer,Data,Bangalore,2025,Flipkart,3,12,22,Full-Time
16,Data Analyst,Data,Chennai,2023,Zoho,0,3,6,Full-Time
17,AI Researcher,AI/ML,Bangalore,2024,OpenAI,4,20,40,Full-Time
18,Tableau Developer,BI,Pune,2024,Capgemini,1,4,9,Full-Time
19,Data Scientist,Data,Delhi,2023,Paytm,2,7,15,Full-Time
20,Business Analyst,Business,Bangalore,2025,BCG,3,10,20,Full-Time
21,ML Engineer,AI/ML,Pune,2023,Persistent,2,8,16,Full-Time
22,Data Analyst,Data,Hyderabad,2025,Amazon,2,7,14,Full-Time
23,SQL Analyst,Database,Mumbai,2024,ICICI,1,4,8,Full-Time
24,Python Data Analyst,Data,Bangalore,2024,Swiggy,1,6,12,Full-Time
25,Power BI Consultant,BI,Delhi,2025,PwC,3,9,18,Full-Time
26,Data Engineer,Data,Hyderabad,2024,Oracle,3,10,20,Full-Time
27,AI Engineer,AI/ML,Chennai,2025,Cognizant,3,14,26,Full-Time
28,Business Analyst,Business,Pune,2023,HSBC,2,6,12,Full-Time
29,Data Scientist,Data,Bangalore,2025,Meta,4,18,35,Full-Time
30,BI Analyst,BI,Mumbai,2024,Reliance,1,5,10,Full-Time
31,Data Analyst,Data,Delhi,2023,Byjus,1,4,7,Full-Time
32,ML Engineer,AI/ML,Bangalore,2024,NVIDIA,3,16,28,Full-Time
33,Data Engineer,Data,Pune,2025,Zomato,3,11,21,Full-Time
34,Power BI Developer,BI,Hyderabad,2023,L&T,1,4,9,Full-Time
35,AI Consultant,AI/ML,Mumbai,2025,McKinsey,4,20,38,Full-Time
36,Data Scientist,Data,Chennai,2024,Freshworks,2,8,16,Full-Time
37,Business Analyst,Business,Delhi,2025,Amazon,3,9,18,Full-Time
38,SQL Developer,Database,Pune,2024,Infosys,1,4,8,Full-Time
39,Data Analyst,Data,Bangalore,2024,PhonePe,1,6,12,Full-Time
40,ML Engineer,AI/ML,Hyderabad,2025,Tesla,4,18,32,Full-Time
