Order_ID,Order_Date,City,Restaurant_Name,Cuisine_Type,Order_Amount,Discount_Applied,Discount_Amount,Final_Amount,Payment_Method,Delivery_Time_Minutes,Distance_km,Rider_Rating,Customer_Rating,Order_Status
ORD1,2026-02-22,Mumbai,Spice Hub,Italian,842.9,Yes,0.0,842.9,Card,107,6.32,4.4,3.8,Delivered
ORD2,2026-02-22,Pune,Curry Kingdom,Indian,974.79,Yes,50.0,924.79,UPI,101,2.68,4.7,3.8,Cancelled
ORD3,2026-02-22,Hyderabad,Sushi Spot,Chinese,1459.93,,0.0,1459.93,Card,36,2.64,4.3,4.8,Cancelled
ORD4,2026-02-22,Chennai,Sushi Spot,Italian,151.44,Yes,100.0,51.44,Cash,74,6.32,3.3,3.6,Delivered
ORD5,2026-02-22,Delhi,Burger Town,Indian,949.1,Yes,0.0,949.1,Card,63,16.22,3.5,2.1,Delayed
ORD6,2026-02-22,Delhi,Urban Tandoor,Chinese,1951.45,No,150.0,1801.45,Wallet,29,14.23,4.5,2.6,Delivered
ORD7,2026-02-22,Hyderabad,Burger Town,Fast Food,1101.33,,50.0,1051.33,Wallet,78,14.54,4.6,4.0,Cancelled
ORD8,2026-02-22,Pune,Sushi Spot,Italian,983.42,No,,983.42,UPI,32,28.52,4.9,4.4,Delivered
ORD9,2026-02-22,Bangalore,Sushi Spot,Italian,713.54,Yes,150.0,563.54,UPI,67,7.7,3.1,4.0,Delayed
ORD10,2026-02-22,Chennai,Sushi Spot,Indian,1278.49,No,50.0,1228.49,UPI,22,2.0,4.8,2.8,Delayed
ORD11,2026-02-22,Delhi,Spice Hub,Fast Food,1375.67,Yes,50.0,1325.67,Card,16,13.33,3.0,3.7,Cancelled
ORD12,2026-02-22,Chennai,Curry Kingdom,Italian,207.93,No,50.0,157.93,Cash,32,23.48,4.8,4.7,Cancelled
ORD13,2026-02-22,Pune,Sushi Spot,Italian,1256.11,No,0.0,1256.11,Cash,62,10.47,3.9,3.6,Cancelled
ORD14,2026-02-22,Pune,Burger Town,Japanese,1928.17,No,,1928.17,UPI,99,12.27,3.2,4.5,Delivered
ORD15,2026-02-22,Mumbai,Sushi Spot,Fast Food,809.99,Yes,100.0,709.99,Cash,74,16.74,2.9,4.4,Delayed
ORD16,2026-02-22,Chennai,Biryani House,Italian,287.92,Yes,100.0,187.92000000000002,UPI,85,13.28,3.5,2.9,Delivered
ORD17,2026-02-22,Delhi,Sushi Spot,Japanese,176.05,,0.0,176.05,UPI,95,21.63,4.5,3.8,Cancelled
ORD18,2026-02-22,Delhi,Burger Town,Chinese,1863.66,,50.0,1813.66,Cash,55,27.53,4.6,3.3,Cancelled
ORD19,2026-02-22,Delhi,Urban Tandoor,Italian,326.51,No,50.0,276.51,Wallet,37,20.4,4.2,3.8,Cancelled
ORD20,2026-02-22,Pune,Biryani House,Fast Food,658.24,No,50.0,608.24,Wallet,49,14.69,2.8,4.1,Cancelled
ORD21,2026-02-22,Mumbai,Pizza Palace,Italian,1557.45,No,0.0,1557.45,UPI,104,7.84,3.1,2.1,Delayed
ORD22,2026-02-22,Bangalore,Biryani House,Chinese,1464.73,,,1464.73,Card,104,1.74,2.8,2.1,Delayed
ORD23,2026-02-22,Mumbai,Spice Hub,Fast Food,1327.36,,150.0,1177.36,Wallet,66,17.33,4.2,2.4,Delivered
ORD24,2026-02-22,Mumbai,Sushi Spot,Chinese,1268.17,,100.0,1168.17,Cash,29,22.91,3.1,2.2,Delayed
ORD25,2026-02-22,Delhi,Pizza Palace,Chinese,686.04,,,686.04,Wallet,100,26.53,4.1,2.9,Cancelled
ORD26,2026-02-22,Chennai,Food Factory,Indian,345.16,,50.0,295.16,Card,42,24.31,3.0,4.7,Delayed
ORD27,2026-02-22,Delhi,Food Factory,Chinese,1147.78,No,0.0,1147.78,Wallet,106,11.33,4.8,2.8,Cancelled
